DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,dataset_label
COLOR,#848991
FIELD_COLORS,#58D68D,#F4D03F,#F5B041,#AAB7B8,#566573
GCF_019139895.1,1,1,0,0,1
GCF_003940825.1,1,1,0,1,0
GCF_019139535.1,1,1,0,0,1
GCF_014268885.2,1,1,0,0,1
GCF_002884415.1,1,1,0,0,0
GCF_019139675.1,1,1,0,0,0
GCF_001515585.1,1,1,0,0,0
GCF_002736065.1,1,1,0,0,1
GCF_023277925.1,1,1,0,0,1
GCF_000026105.1,1,1,0,0,0
GCF_005080685.1,1,1,0,0,0
GCF_014269025.1,1,1,0,0,0
GCF_024023035.1,1,1,0,0,0
GCF_021725455.1,1,1,0,0,0
GCF_001477425.1,1,1,0,0,0
GCF_017166425.1,1,1,0,0,0
GCF_002688705.1,0,1,0,0,0
GCF_007833495.1,1,1,0,0,0
GCF_001655295.1,1,1,0,0,1
GCF_013425825.1,1,1,0,0,1
GCF_014269225.2,1,1,0,1,1
GCF_022049085.1,1,1,0,0,0
GCF_014656565.1,1,1,0,0,0
GCF_002864795.1,1,1,0,0,0
GCF_000510285.1,1,1,0,0,0
GCF_000761155.1,1,1,0,0,0
GCF_013374995.1,1,1,0,1,0
GCF_003415775.1,1,1,0,0,1
GCF_018388545.1,1,1,0,0,1
GCF_000452745.2,1,1,0,0,1
GCF_024413275.1,1,1,0,0,1
GCF_011765175.1,1,1,0,0,1
GCF_003699955.1,1,1,0,0,1
GCF_000452705.1,1,1,0,0,1
GCF_016599635.1,1,1,0,0,1
GCF_000145845.1,1,1,0,0,1
GCF_000145845.2,1,1,0,0,1
GCF_002905795.1,1,1,0,0,1
GCF_009903285.1,1,0,0,0,1
GCF_000344475.3,1,1,0,0,1
GCF_002024285.1,1,1,0,0,1
GCF_003700835.1,1,1,0,0,1
GCF_002966555.1,1,1,0,0,1
GCF_000172895.1,1,1,0,0,1
GCF_000007805.1,1,1,0,0,1
GCF_000145885.1,1,1,0,0,1
GCF_002318885.1,1,1,0,0,1
GCF_900235895.1,1,1,0,0,1
GCF_000988485.1,1,1,0,0,1
GCF_022510205.1,1,1,0,0,1
GCF_003047185.1,1,1,0,0,1
GCF_000452445.2,1,1,0,0,1
GCF_001400495.1,1,1,0,0,1
GCF_001482725.1,1,1,0,0,1
GCF_022557235.1,1,1,0,0,1
GCF_019334485.1,1,1,0,0,1
GCF_020917325.1,1,1,0,0,1
GCF_023207855.1,1,1,0,0,1
GCF_022026035.1,1,1,0,0,1
GCF_000164015.3,1,1,0,0,1
GCF_013911125.1,1,1,0,0,1
GCF_003413075.1,0,1,0,0,1
GCF_001400675.1,1,1,0,0,1
GCF_020204845.1,1,1,0,0,1
GCF_014855475.1,1,1,0,0,1
GCF_003699405.1,1,1,0,0,1
GCF_000146005.2,1,1,0,0,1
GCF_001020725.2,1,1,1,0,0
GCF_900475285.1,1,1,0,1,0
GCF_011040435.1,1,1,0,0,1
GCF_015476275.1,1,1,0,0,0
GCF_001543125.1,1,1,1,1,1
GCF_014268755.2,1,1,0,1,1
GCF_000280575.1,1,1,0,1,1
GCF_013403585.1,1,1,0,0,1
GCF_900106045.1,1,1,0,1,0
GCF_014268455.2,1,1,0,1,1
GCF_001641345.1,0,0,0,1,1
GCF_003626995.1,1,1,0,1,1
GCF_004124255.1,0,0,0,0,0
GCF_900475215.1,1,1,0,0,1
GCF_001647715.1,1,1,0,1,1
GCF_019285655.1,1,1,0,0,0
GCF_022870785.1,1,1,0,1,1
GCF_014268375.2,1,1,0,1,0
GCF_901482615.1,1,1,0,1,0
GCF_003852025.1,1,1,0,1,1
GCF_001297075.1,1,1,0,1,1
GCF_002980135.1,1,1,1,1,0
GCF_018417575.1,1,1,0,1,0
GCF_001730655.1,1,1,0,1,0
GCF_014268275.2,1,1,1,0,0
GCF_021233455.1,1,1,0,0,1
GCF_900625045.1,1,1,1,1,0
GCF_022807995.1,1,1,0,0,1
GCF_900104915.1,1,1,0,1,0
GCF_019139815.1,1,1,0,1,0
GCF_900601635.1,1,1,0,1,0
GCF_013778535.1,1,1,0,1,0
GCF_002966835.1,1,1,1,1,1
GCF_000009225.2,1,1,0,0,0
GCF_016134935.1,0,1,1,0,1
GCF_008801565.1,1,1,1,1,1
GCF_022533565.1,1,1,1,1,0
GCF_002007785.1,1,1,1,1,0
GCF_019139855.1,1,1,0,1,1
GCF_001547895.1,1,1,1,1,0
GCF_001547915.1,1,1,1,1,0
GCF_000828695.1,1,1,1,1,1
GCF_000397205.1,1,1,1,1,1
GCF_000012265.1,1,1,1,1,1
GCF_020424105.1,1,0,0,1,1
GCF_900636995.1,1,1,0,1,1
GCF_003850385.1,1,1,0,1,1
GCF_003850425.1,1,1,0,1,1
GCF_009362955.1,1,1,0,1,1
GCF_003851985.1,1,1,0,1,1
GCF_003851145.1,1,1,0,1,1
GCF_003851385.1,1,1,0,1,1
GCF_000237045.1,1,1,0,1,1
GCF_000813225.1,1,1,0,1,1
GCF_014076455.1,1,1,0,0,1
GCF_001412045.1,1,1,0,0,0
GCF_001708425.1,1,1,0,0,0
GCF_019141525.1,1,1,0,0,0
GCF_013347965.1,1,1,0,0,0
GCF_003410335.1,1,1,0,0,0
GCF_001269655.1,1,1,0,0,0
GCF_014268695.2,1,1,0,0,0
GCF_021389915.1,1,1,0,0,0
GCF_008370715.1,1,1,0,0,0
GCF_001449085.1,1,1,0,0,0
GCF_000194805.1,1,1,0,0,0
GCF_004348895.1,1,1,0,1,0
GCF_019139795.1,1,1,0,0,0
GCF_002356535.2,1,1,0,0,0
GCF_008801455.1,1,1,1,0,0
GCF_001042905.1,1,1,0,0,0
GCF_014190825.1,1,1,0,0,0
GCF_002355315.1,1,1,0,0,0
GCF_001655615.1,1,1,0,0,0
GCF_000293885.2,1,1,1,0,0
GCF_001661075.1,1,1,0,0,0
GCF_003671865.1,1,1,0,0,0
GCF_004135995.1,1,1,1,0,0
GCF_002091695.1,1,1,1,0,0
GCF_019693255.1,1,1,1,0,0
GCF_014863605.1,1,1,0,0,0
GCF_021398855.1,1,1,0,0,1
GCF_014863585.1,1,1,0,0,1
GCF_019719375.1,1,1,0,0,1
GCF_001655595.1,1,1,0,0,0
GCF_001594225.1,1,1,0,0,0
GCF_014268495.1,1,1,0,0,1
GCF_002287865.1,1,1,0,0,0
GCF_004683905.1,1,1,0,0,0
GCF_014268445.1,1,1,0,0,1
GCF_019614655.1,1,1,0,0,1
GCF_014268485.2,1,1,0,0,1
GCF_900105485.1,1,1,0,0,0
GCF_014268595.1,1,1,0,0,0
GCF_024072295.1,1,1,0,0,1
GCF_017167965.1,1,1,0,0,0
GCF_014268585.2,1,1,0,0,1
GCF_001605965.1,1,1,0,0,1
