LABELS
SEPARATOR COMMA
DATA
GCF_024448735.1,P. zhaodongensis 27559T
GCF_001400495.1,P. syringae lapsa
GCF_001482725.1,P. syringae lapsa
GCF_000145845.1,P. syringae ES4326
GCF_000145845.2,P. syringae ES4326
GCF_000452445.2,P. syringae PP1
GCF_022510205.1,P. syringae syringae
GCF_000988485.1,P. syringae B301D
GCF_003700835.1,P. syringae tagetis
GCF_002966555.1,P. syringae tomato
GCF_000007805.1,P. syringae DC3000
GCF_000172895.1,P. syringae T1
GCF_900475285.1,P. taetrolens NCTC10697
GCF_013393345.1,P. taiwanensis xwS3
GCF_014268445.1,P. tensinigenes 5.3
GCF_001269655.1,P. thivervalensis 13194
GCF_021605025.1,P. tohonis TUM20249
GCF_019285655.1,P. tolaasii Pt11
GCF_002741095.1,P. toyotomiensis 26169
GCF_024413275.1,P. tremae CLA0494
GCF_014268275.2,P. tritici SWRI145
GCF_001730655.1,P. trivialis 21464
GCF_014190825.1,P. umsongensis KD5
GCF_004348895.1,P. vancouverensis Dha-51
GCF_014268755.2,P. vanderleydeniana RW8P3
GCF_021233455.1,P. veronii G2
GCF_018388545.1,P. viridiflava U625
GCF_900601635.1,P. viridiflava p8.D10
GCF_021029445.1,P. wenzhouensis A20
GCF_014268885.2,P. xantholysinigenes RW9S1A
GCF_019139835.1,P. xanthosomatis COR54
GCF_013403585.1,P. yamanorum GZD14026
GCF_014268695.2,P. zarinae SWRI108
GCF_014268485.2,P. zeae 48.2
GCF_009740185.1,S. degradans XL272
GCF_000219605.1,S. stutzeri 1.1803
GCF_900636845.1,S. stutzeri NCTC10450
GCF_000013785.1,S. stutzeri A1501
GCF_000327065.1,S. stutzeri RCH2
GCF_000825645.2,S. xanthomarina S11
